actual_value_1,predicted_value_1,actual_value_2,predicted_value_2
3.0,0,85.0,103.324165
1.0,0,170.0,96.545746
1.0,0,180.0,93.82398
1.0,0,227.0,89.24987
3.0,3,199.0,89.18091
3.0,0,168.0,92.56342
3.0,1,93.0,90.337654
1.0,2,80.0,88.70854
3.0,2,111.0,91.09678
2.0,2,133.0,94.01175
2.0,2,135.0,96.075356
2.0,2,94.0,101.849075
2.0,2,103.0,104.567604
3.0,2,92.0,104.19897
3.0,2,93.0,102.53334
3.0,2,109.0,102.07554
3.0,2,122.0,97.75625
3.0,2,123.0,97.887474
1.0,3,122.0,97.3812
1.0,0,172.0,98.73193
1.0,1,213.0,94.92414
1.0,1,196.0,93.368126
3.0,0,158.0,92.79834
3.0,0,103.0,94.51473
1.0,0,90.0,97.981224
1.0,1,70.0,97.37697
1.0,1,67.0,97.86283
1.0,1,66.0,98.52079
1.0,1,52.0,102.48401
3.0,3,55.0,100.9822
3.0,1,51.0,100.9685
3.0,1,47.0,98.37968
3.0,2,48.0,95.15746
3.0,2,60.0,95.31043
2.0,2,88.0,96.411095
2.0,2,279.0,97.02435
2.0,2,435.0,98.517815
3.0,3,489.0,96.93235
3.0,2,513.0,99.45953
2.0,2,539.0,99.73945
3.0,2,567.0,95.50193
2.0,2,569.0,94.79313
3.0,2,659.0,94.72889
3.0,2,648.0,93.656
3.0,2,651.0,93.009834
0.0,2,671.0,90.49505
2.0,0,623.0,89.23992
1.0,0,618.0,85.71017
1.0,2,532.0,86.25023
1.0,0,477.0,87.27634
1.0,1,479.0,86.65758
3.0,3,490.0,85.72091
0.0,1,476.0,90.83087
0.0,1,457.0,93.56592
0.0,1,327.0,95.599266
2.0,2,161.0,95.83837
2.0,1,286.0,98.4009
2.0,1,298.0,98.21958
2.0,1,310.0,97.31888
2.0,1,332.0,96.76292
2.0,1,391.0,97.401024
2.0,1,437.0,98.88555
3.0,0,422.0,95.96871
2.0,0,320.0,99.33593
2.0,0,346.0,103.12443
2.0,1,351.0,102.56315
2.0,1,297.0,98.43328
2.0,1,290.0,96.67509
2.0,2,250.0,99.70692
2.0,2,170.0,101.105965
2.0,1,103.0,101.0095
2.0,2,79.0,101.29209
3.0,3,73.0,91.40688
2.0,3,74.0,95.288185
2.0,1,77.0,95.33797
2.0,1,81.0,92.44325
3.0,3,95.0,91.574326
2.0,3,115.0,91.588196
3.0,3,77.0,91.05156
3.0,1,67.0,91.25039
1.0,1,13.0,90.868004
1.0,1,12.0,92.04487
1.0,1,10.0,91.523155
1.0,1,195.0,92.26029
1.0,1,238.0,91.6906
1.0,1,293.0,98.64619
1.0,1,384.0,100.0711
1.0,1,381.0,102.78184
1.0,1,296.0,100.635216
1.0,1,38.0,102.995964
1.0,1,19.0,102.48586
1.0,1,22.0,104.515114
1.0,1,20.0,105.69128
1.0,1,14.0,105.10508
0.0,3,23.0,98.41768
0.0,1,19.0,98.21227
0.0,1,22.0,91.697
1.0,1,33.0,90.62366
1.0,1,42.0,92.191536
1.0,1,40.0,97.11852
0.0,0,43.0,102.51197
3.0,3,56.0,104.60259
3.0,3,57.0,104.75525
2.0,3,153.0,104.55882
2.0,2,108.0,103.13082
2.0,2,89.0,103.89451
2.0,2,87.0,103.17814
2.0,2,95.0,105.89798
3.0,3,111.0,102.759834
2.0,2,112.0,105.20058
2.0,2,145.0,104.74863
2.0,2,184.0,99.80683
2.0,2,178.0,99.14295
2.0,2,170.0,101.803024
2.0,2,161.0,104.55455
2.0,2,133.0,104.57249
2.0,2,114.0,101.02149
3.0,3,112.0,92.101616
3.0,3,114.0,95.073006
2.0,0,130.0,96.46668
3.0,3,133.0,94.0611
3.0,3,143.0,94.642944
3.0,2,137.0,97.25012
1.0,2,143.0,95.58205
1.0,2,145.0,96.40735
3.0,3,185.0,93.75952
3.0,2,198.0,95.193596
2.0,2,205.0,96.11509
2.0,1,195.0,96.274895
2.0,1,203.0,93.44329
2.0,1,209.0,94.47052
3.0,3,202.0,92.28939
1.0,1,28.0,93.35803
1.0,1,26.0,97.16425
1.0,1,22.0,97.06202
1.0,1,24.0,93.74288
1.0,1,16.0,93.34234
1.0,1,16.0,90.28362
1.0,1,17.0,88.761566
1.0,1,7.0,88.614555
1.0,1,9.0,92.60826
1.0,1,10.0,95.44875
1.0,1,8.0,100.77543
1.0,1,7.0,102.34286
1.0,1,10.0,109.12949
1.0,1,11.0,109.97263
1.0,1,11.0,109.516525
1.0,1,10.0,107.03461
1.0,1,7.0,104.78063
1.0,1,9.0,104.12429
1.0,1,14.0,103.50063
1.0,1,13.0,103.06089
1.0,1,14.0,101.47838
1.0,1,9.0,99.76295
1.0,1,14.0,99.20106
1.0,1,9.0,99.64676
1.0,1,8.0,100.34667
1.0,1,10.0,101.811356
1.0,1,8.0,101.91137
1.0,1,9.0,102.26179
1.0,1,11.0,104.86911
1.0,1,11.0,105.77509
1.0,1,10.0,102.63531
1.0,1,15.0,97.87924
1.0,1,13.0,94.28701
1.0,1,16.0,93.64811
1.0,1,13.0,94.2095
1.0,1,18.0,95.00872
1.0,1,18.0,94.41834
0.0,0,22.0,89.31776
0.0,1,23.0,91.48951
1.0,1,24.0,90.00819
1.0,1,24.0,90.24888
3.0,3,23.0,91.154854
1.0,1,23.0,88.42105
3.0,1,42.0,84.80349
2.0,1,54.0,84.15677
2.0,1,48.0,84.312965
2.0,1,66.0,88.156334
2.0,1,56.0,89.44171
2.0,1,67.0,91.215935
2.0,1,95.0,92.36108
2.0,1,111.0,92.513916
3.0,3,112.0,90.07241
0.0,1,113.0,92.9844
2.0,1,127.0,95.38726
0.0,1,137.0,99.22472
1.0,1,164.0,98.474785
1.0,1,190.0,98.16996
1.0,1,175.0,93.24534
1.0,1,142.0,92.28132
1.0,1,107.0,93.908104
1.0,1,101.0,94.835045
1.0,1,100.0,96.20727
3.0,3,97.0,93.31841
1.0,3,101.0,97.3803
1.0,1,105.0,95.55437
3.0,3,117.0,97.16038
2.0,3,119.0,97.10651
3.0,3,115.0,97.1595
3.0,3,125.0,95.55506
3.0,2,184.0,95.35142
2.0,2,210.0,94.26494
2.0,2,213.0,93.75186
2.0,2,237.0,97.53466
0.0,3,258.0,98.51539
2.0,3,264.0,99.18798
2.0,2,324.0,102.36567
1.0,3,344.0,103.26823
3.0,3,356.0,103.47581
3.0,3,366.0,103.172195
1.0,3,350.0,104.73621
3.0,3,321.0,105.45921
1.0,3,294.0,106.678406
1.0,3,239.0,110.716156
1.0,1,219.0,109.07189
3.0,3,221.0,105.30976
3.0,3,245.0,104.18166
1.0,1,311.0,103.27271
3.0,3,240.0,104.61526
0.0,3,235.0,104.4695
3.0,3,232.0,104.060684
3.0,3,238.0,101.95715
3.0,1,243.0,100.76936
0.0,3,282.0,98.57567
3.0,3,310.0,96.24855
3.0,1,295.0,97.72665
1.0,3,301.0,100.81077
0.0,3,325.0,103.82473
1.0,3,319.0,106.78974
1.0,3,335.0,109.81851
1.0,0,301.0,109.178505
1.0,0,312.0,108.37577
1.0,0,316.0,107.025795
1.0,1,296.0,106.452095
1.0,1,270.0,108.887276
1.0,1,252.0,111.31743
1.0,1,234.0,112.96645
3.0,3,233.0,104.608986
3.0,1,241.0,104.37597
1.0,1,231.0,103.08229
1.0,1,214.0,103.13205
1.0,1,210.0,103.1676
1.0,1,178.0,105.36448
1.0,1,142.0,108.36899
0.0,1,122.0,104.93623
0.0,1,59.0,107.827995
0.0,1,47.0,109.162575
0.0,1,40.0,109.206
0.0,1,32.0,106.54696
0.0,1,48.0,105.84846
0.0,1,32.0,113.543236
1.0,0,25.0,106.41794
0.0,0,26.0,107.19964
1.0,0,43.0,99.556206
0.0,0,54.0,96.526634
1.0,1,55.0,93.96203
3.0,3,53.0,92.8847
3.0,1,60.0,94.47831
1.0,1,55.0,93.61036
1.0,1,42.0,90.73916
1.0,1,36.0,87.09545
1.0,1,32.0,89.1249
1.0,1,14.0,89.1769
1.0,1,15.0,90.411705
0.0,0,18.0,91.49532
0.0,0,14.0,93.11973
0.0,0,15.0,94.597664
0.0,1,15.0,95.868225
0.0,1,14.0,95.49749
0.0,1,19.0,98.32329
0.0,1,17.0,100.10845
2.0,3,16.0,99.29224
3.0,3,14.0,105.33786
1.0,3,33.0,105.16813
1.0,1,45.0,102.10606
2.0,2,55.0,100.410324
2.0,2,71.0,100.69255
2.0,2,59.0,100.90034
2.0,2,42.0,101.34614
2.0,2,31.0,100.480736
3.0,3,30.0,93.41119
2.0,3,39.0,96.82054
2.0,2,23.0,97.13323
2.0,2,26.0,94.5299
2.0,2,25.0,94.46131
2.0,2,26.0,94.30496
2.0,2,24.0,93.06678
2.0,2,29.0,93.19366
2.0,2,28.0,94.48814
2.0,2,35.0,94.831764
2.0,2,35.0,94.64137
2.0,2,38.0,94.80102
2.0,2,49.0,93.718216
2.0,2,65.0,100.49343
2.0,2,72.0,100.09037
2.0,2,74.0,97.964516
3.0,3,80.0,88.47079
2.0,2,88.0,93.22577
2.0,2,106.0,92.51072
2.0,2,113.0,94.849525
2.0,2,139.0,92.13705
2.0,2,119.0,92.47663
2.0,2,122.0,90.765305
3.0,3,116.0,82.87794
0.0,3,132.0,88.25344
3.0,3,120.0,91.820206
1.0,3,111.0,94.288734
1.0,1,108.0,98.23722
1.0,1,110.0,97.66923
1.0,1,119.0,98.28905
1.0,1,125.0,96.88142
1.0,1,143.0,98.30648
1.0,1,149.0,100.38906
1.0,1,133.0,105.74161
1.0,1,136.0,109.50788
1.0,1,149.0,108.344185
1.0,1,161.0,104.8199
1.0,1,167.0,102.26919
1.0,1,167.0,102.525734
3.0,3,53.0,94.88153
1.0,1,19.0,97.76205
1.0,1,32.0,98.71585
1.0,1,15.0,104.25996
1.0,1,11.0,107.41703
1.0,1,10.0,107.34063
0.0,0,11.0,99.57321
0.0,0,11.0,103.534744
1.0,0,9.0,103.78453
1.0,0,19.0,101.99116
