actual_value_1,predicted_value_1,actual_value_2,predicted_value_2
3.0,1,85.0,98.16508
1.0,3,170.0,99.13426
1.0,1,180.0,100.29693
1.0,1,227.0,99.862724
3.0,3,199.0,98.68694
3.0,3,168.0,101.78553
3.0,1,93.0,102.43603
1.0,3,80.0,96.43404
3.0,2,111.0,92.67019
2.0,2,133.0,97.33106
2.0,2,135.0,99.770256
2.0,2,94.0,102.82719
2.0,2,103.0,98.04258
3.0,2,92.0,90.51273
3.0,2,93.0,92.14594
3.0,2,109.0,92.763725
3.0,2,122.0,90.178505
3.0,2,123.0,91.38291
1.0,3,122.0,86.73461
1.0,1,172.0,92.18968
1.0,1,213.0,94.62554
1.0,1,196.0,98.10088
3.0,3,158.0,92.08333
3.0,1,103.0,94.03132
1.0,1,90.0,99.465965
1.0,1,70.0,101.08839
1.0,1,67.0,104.113556
1.0,1,66.0,102.157265
1.0,1,52.0,101.233406
3.0,3,55.0,96.66187
3.0,1,51.0,93.40888
3.0,3,47.0,92.31968
3.0,2,48.0,87.53257
3.0,2,60.0,88.563194
2.0,2,88.0,89.294685
2.0,2,279.0,96.81571
2.0,2,435.0,95.57943
3.0,3,489.0,89.35413
3.0,2,513.0,94.91404
2.0,2,539.0,98.15185
3.0,3,567.0,93.58158
2.0,2,569.0,94.29635
3.0,3,659.0,94.33089
3.0,2,648.0,96.4887
3.0,2,651.0,94.42537
0.0,3,671.0,90.12608
2.0,3,623.0,88.008545
1.0,3,618.0,84.4229
1.0,2,532.0,84.16306
1.0,0,477.0,85.20514
1.0,0,479.0,86.69488
3.0,3,490.0,85.30477
0.0,0,476.0,88.95937
0.0,1,457.0,92.29898
0.0,1,327.0,92.15819
2.0,0,161.0,91.91605
2.0,0,286.0,94.60007
2.0,1,298.0,96.124146
2.0,1,310.0,97.461655
2.0,2,332.0,95.58137
2.0,2,391.0,93.93773
2.0,2,437.0,93.27488
3.0,3,422.0,89.71041
2.0,3,320.0,90.5619
2.0,2,346.0,92.75735
2.0,2,351.0,91.805984
2.0,2,297.0,89.53591
2.0,2,290.0,88.369026
2.0,1,250.0,90.30447
2.0,1,170.0,91.6105
2.0,1,103.0,94.04572
2.0,1,79.0,98.62522
3.0,3,73.0,90.60215
2.0,3,74.0,95.5203
